dataset,family,model,split,scenario,noise_level,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,test_examples_mean,test_examples_std,test_examples_min,test_examples_max,unseen_examples_mean,unseen_examples_std,unseen_examples_min,unseen_examples_max
SKAB,DEEP,CNN,fold_3,noise,0.1,0.6643979052462365,0.022827074306710472,0.6443789664551224,0.689170820117807,0.6476866845464102,0.06818209897953155,0.5627644569816643,0.7453310696095077,0.2444575739457567,0.1024097471620764,0.11271850512356842,0.3960216998191682,0.3442709369247833,0.10834487128657809,0.19318181818181818,0.4892032762472077,4419.6,8.87693640846892,4412,4432,,,,
SKAB,DEEP,CNN,fold_3,noise,0.2,0.6608658202904388,0.024659551585325876,0.6339528558476881,0.6878115088355233,0.6276594255694133,0.06710425249944078,0.5268414481897628,0.7065868263473054,0.25095485582835864,0.10239592020311446,0.11392405063291139,0.3936106088004822,0.34799604279271323,0.10885886505637801,0.19434447300771207,0.48658718330849476,4419.6,8.87693640846892,4412,4432,,,,
SKAB,DEEP,CNN,fold_3,original,0.0,0.6665733580934614,0.021845284816575033,0.645899410965111,0.6906913691821057,0.6593043995950811,0.06777036105827591,0.5967503692762186,0.7681159420289855,0.24205531436600475,0.10147406450530069,0.11151295961422544,0.39300783604581074,0.3435653895478156,0.10794938913331792,0.19141231246766685,0.4878413767302656,4419.6,8.87693640846892,4412,4432,,,,
SKAB,DEEP,CNN,fold_4,noise,0.05,0.6509271101257746,0.01444852281861667,0.6430307046609234,0.6764770967028103,0.5075268817204301,0.4783073210793252,0.0,1.0,0.02245327047323086,0.040075769095432756,0.0,0.09305210918114144,0.04160799295771447,0.07320508634597712,0.0,0.170261066969353,4522.2,4.604345773288565,4517,4527,,,,
SKAB,DEEP,CNN,fold_4,noise,0.1,0.6510597265624897,0.014568210693908205,0.6430307046609234,0.6769196724939146,0.7143790849673202,0.4134832898018526,0.0,1.0,0.023196843052621686,0.040311313567360625,0.0,0.09429280397022333,0.042995713111479525,0.07349684794248366,0.0,0.17233560090702948,4522.2,4.604345773288565,4517,4527,,,,
SKAB,DEEP,CNN,fold_4,noise,0.2,0.6511927538053974,0.014854170871336768,0.6419262204550475,0.6775835361805709,0.7844444444444444,0.34007987442313364,0.2222222222222222,1.0,0.024808826019051003,0.04036064399773822,0.0012376237623762376,0.09615384615384616,0.04605520125022329,0.0733226250709793,0.0024615384615384616,0.17543859649122806,4522.2,4.604345773288565,4517,4527,,,,
SKAB,DEEP,CNN,fold_4,original,0.0,0.6507503926528344,0.014567407365628992,0.642588910978573,0.6764770967028103,0.4459770114942529,0.4796974648825766,0.0,1.0,0.02208175316030924,0.04025553018763488,0.0,0.09305210918114144,0.04087917098521134,0.07355658668803285,0.0,0.170261066969353,4522.2,4.604345773288565,4517,4527,,,,
SKAB,DEEP,GRU,fold_0,noise,0.05,0.6673469742600115,0.03218522002309819,0.6390809725630159,0.7120570537107198,0.46926718324964833,0.28004291657612,0.0,0.7390300230946882,0.3426406016916161,0.23562247112904325,0.0,0.5494367959949937,0.37458420193687125,0.23046931321432124,0.0,0.5761154855643045,4481.0,4.898979485566368,4475,4487,,,,
SKAB,DEEP,GRU,fold_0,noise,0.1,0.6666341216292448,0.03088600282972443,0.6381887129154584,0.7082683307332294,0.4676521774712392,0.27899210703307825,0.0,0.7384259259259259,0.3433913046646948,0.236739284005544,0.0,0.5538172715894869,0.37422567044225036,0.2303486107512974,0.0,0.5748619681714843,4481.0,4.898979485566368,4475,4487,,,,
SKAB,DEEP,GRU,fold_0,noise,0.2,0.6637380983380491,0.026828029655035963,0.6359580637965648,0.6926677067082684,0.4630479915278225,0.27758444790633136,0.0,0.7448275862068966,0.3460202980097522,0.23850073466987023,0.0,0.5657071339173968,0.373400153004224,0.2283349918334534,0.0,0.5673046752431754,4481.0,4.898979485566368,4475,4487,,,,
SKAB,DEEP,GRU,fold_0,original,0.0,0.668103942177338,0.03419780890466929,0.6393040374749052,0.7174058390907064,0.47056310009682195,0.28094287334270074,0.0,0.7384259259259259,0.3428889507146772,0.23634123471098106,0.0,0.5544430538172715,0.37525884174525814,0.23166378924057013,0.0,0.5828947368421052,4481.0,4.898979485566368,4475,4487,,,,
SKAB,DEEP,GRU,fold_1,noise,0.05,0.6954457882820948,0.02475997033402401,0.6707616707616708,0.7224826970305872,0.7013295944699468,0.17552683814041922,0.5509337860780985,1.0,0.32043822813616124,0.12843847626806656,0.1425891181988743,0.4278575890068707,0.4143559127849447,0.11948625819480832,0.24958949096880131,0.5199240986717267,4482.2,6.418722614352435,4477,4491,,,,
